Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,148263,2628108.7027027025,643777.8013513513,643777.8013513513,22.509117512783053,837250.5676625659,837250.5676625659
2,148070,2557784.449255751,374626.63193504733,374626.63193504733,22.579837618403246,1089957.0118110236,1089957.0118110236
3,147894,2438943.3577235774,364028.31029810297,364028.31029810297,23.0,741111.4289655172,741111.4289655172
4,147258,2491493.7551020407,928036.9571428571,928036.9571428571,21.90604840575686,1737852.6458598727,1737852.6458598727
5,145256,2569375.0703448276,913782.968275862,913782.968275862,20.222212604042806,2137073.070967742,2137073.070967742
6,145572,2633496.6799724707,600915.3840330351,94207.26841018582,20.84089921935725,1049435.1598557692,164523.03004807694
7,145740,2504295.2654745528,1763646.6650618983,26484.345254470427,20.982118294360387,1821265.8032670454,27349.600852272728
8,145945,2389902.160603981,698254.6616334935,698254.6616334935,20.675814436165737,854204.0654911839,854204.0654911839
9,153299,2601696.8653594772,529498.3875816993,252219.62352941177,28.25505660216156,1370782.627749577,652954.3553299493
10,152064,2580537.5775611415,477612.4960938653,54911.42244580189,26.29464910316431,1237228.2748643132,142244.947564381
