RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.011764705882352941,0.011764705882352941,2,0,336
2,0.012422360248447204,0.012422360248447204,2,0,318
3,0.012461059190031152,0.012461059190031152,2,0,317
4,0.0111731843575419,0.0111731843575419,2,0,354
5,0.011834319526627219,0.011834319526627219,2,0,334
6,0.012618296529968454,0.012618296529968454,2,0,313
7,0.012658227848101266,0.012658227848101266,2,1,311
8,0.0125,0.0125,2,1,315
9,0.0125,0.0125,2,0,316
10,0.012861736334405146,0.012861736334405145,2,0,307
