Run number,cpu,mem
1,0.10000000000000026,242427.23376623375
2,30.0,242090.7610619469
3,27.27710280373828,250409.4672897196
4,13.400888888888856,245812.4711111111
5,-1.8000000000000071,244043.47619047618
6,22.03196347031961,241420.06392694064
7,70.0,244220.58653846153
8,31.0,247299.53658536586
9,0.0,243071.63959390862
10,65.79949494949494,242648.87878787878
