Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,145259,2645620.645517241,494558.8544827586,472478.5827586207,33.86678858501784,494558.8544827586,472478.5827586207
2,145279,2674351.227586207,557334.1806896551,557334.1806896551,33.38645755053508,927823.8369690011,927823.8369690011
3,146089,2667794.861454047,553919.6975308642,553919.6975308642,33.15715667402402,1562117.83172147,1562117.83172147
4,147085,2629603.476839237,585082.9734332425,585082.9734332425,33.72050241667842,735991.263924593,735991.263924593
5,143676,2588679.6959553696,865179.0285913529,865179.0285913529,29.6036143547129,1372418.9457964601,1372418.9457964601
6,139145,2585745.0136789056,713235.5680345573,713235.5680345573,20.737221022318213,1381707.3974895398,1381707.3974895398
7,146975,2664959.261077028,1017676.3033401499,1017676.3033401499,33.71438309475119,1603578.0204081633,1603578.0204081633
8,148047,2654789.090663058,188599.0152214436,187943.01552174333,36.54194857916103,188599.0152214436,187943.01552174333
9,150010,2661789.576486306,398587.4495657983,0.0,40.04742818971276,1054214.5088339222,0.0
10,152491,2600662.031537451,461771.6590013141,461771.6590013141,44.72450403283597,681684.2531522793,681684.2531522793
