RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",362084,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",237239,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39792,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",229636,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47447,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",233646,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39271,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",264584,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60469,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",323958,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59583,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",293541,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",222709,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39479,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",352500,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48177,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64844,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49895,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",426354,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62500,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",208646,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",283438,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46823,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",329531,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48959,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",297656,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60573,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",310781,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48489,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",360729,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57604,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",260833,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",398854,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58281,0,0,0,True
