Treatment,Subject,App package,Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,166381,2630922.1807228914,1984801.0975903615,1471672.1391566265,30.984939759036145,1984801.0975903615,1471672.1391566265
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,174420,2633648.793103448,1484442.7994252874,1484442.7994252874,40.98965517241379,1703779.9940633245,1703779.9940633245
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,174138,2622118.5178365936,1149724.740506329,26056.45166858458,41.21518987341772,1801822.9026149684,40835.08836789901
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,174899,2468042.1088825213,394809.8979942693,394809.8979942693,41.788977101994234,951579.1049723757,951579.1049723757
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,166210,2630276.894514768,1548414.0337552743,1548414.0337552743,30.84558589766089,1781427.7961165048,1781427.7961165048
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,169127,2542656.857819905,2137705.161729858,2137705.161729858,33.54976303317535,2378672.5860250494,2378672.5860250494
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,172411,2516647.511911679,1610460.3468913422,1610460.3468913422,36.54068533726152,2247852.600973236,2247852.600973236
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,174796,2544476.126146789,731082.0401376147,0.0,43.289716117119774,957212.5210210211,0.0
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,176813,2578566.535147392,858602.7590702948,858602.7590702948,46.975594659632556,1653466.4486899562,1653466.4486899562
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,178682,2510189.9293325855,673132.6539540101,673132.6539540101,51.43657192359195,1081257.227027027,1081257.227027027
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,175068,2609587.8053806527,764139.473955352,764139.473955352,43.58385804235833,1412647.2603174604,1412647.2603174604
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,175816,2559175.541619156,1031205.1573546181,1031205.1573546181,46.581274077560465,1402119.2604651162,1402119.2604651162
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,174511,2613106.828259621,505984.02412406664,505984.02412406664,44.25860608805901,839769.4814108675,839769.4814108675
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,167418,2517856.7875523637,971380.8240574506,971380.8240574506,33.51974847443326,1521253.3805060918,1521253.3805060918
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,176679,2466288.6262053316,389520.70504821325,389520.70504821325,46.30191472857493,663502.4183574879,663502.4183574879
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,175172,2539034.7459954233,1427981.168764302,1427981.168764302,42.84610983981693,1722643.9496204278,1722643.9496204278
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,180574,2629652.692948362,1401469.2981676846,0.0,52.39942828973107,1583466.879548306,0.0
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,178723,2609446.3286595624,583965.6281547953,583965.6281547953,52.74914165661924,1047495.6891348088,1047495.6891348088
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,184381,2617276.6808047853,771346.1457313758,768009.3697661773,65.45350734094616,771346.1457313758,768009.3697661773
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,178938,2551478.6778711486,1635077.174789916,1635077.174789916,51.59247259688188,1803839.7756489494,1803839.7756489494
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,1,155687,2553288.6567933033,871131.6638763683,871131.6638763683,17.812620734063103,1270298.0976525822,1270298.0976525822
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,2,155806,2640026.052733119,440097.9356913183,440097.9356913183,17.95369774919614,551008.2850241546,551008.2850241546
