Treatment,Subject,App package,Run number,cpu,mem
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,23.173180076628356,245533.0804597701
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,22.0,243405.9870689655
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,24.769827586206954,246781.19827586206
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,0.10000000000000026,244991.51502145923
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,22.86666666666671,248160.66279069768
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,9.411553784860512,248021.03187250995
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,0.0,246523.1316872428
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,17.04716157205241,245815.69868995633
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,24.96143497757845,243923.55156950673
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,129.16303317535517,246598.327014218
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,29.784234234234244,251890.51801801802
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,0.10000000000000016,251872.00938967135
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,26.0,247745.5799086758
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,23.412345679012343,254376.59670781894
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,26.967772511848324,252889.57345971564
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,27.946818181818188,251415.4909090909
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,22.0,251223.76470588235
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,25.991999999999976,248677.34
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,1.0999999999999963,249499.60103626942
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,12.29455445544549,250804.48514851485
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,1,32.0,166111.65722379604
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,2,15.546218487394958,165465.04761904763
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,3,14.08258426966292,165105.75280898876
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,4,13.939106145251369,165562.13966480448
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,5,27.0,166221.6340782123
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,6,0.0,165795.26966292135
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,7,16.25309734513281,165884.73746312683
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,8,5.900000000000035,165152.16314199395
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,9,7.0991825613079005,164649.16621253407
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,10,12.50326409495548,164689.04154302672
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,1,12.295224719101125,166103.27528089887
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,2,0.0,164803.55027932962
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,3,3.1719887955182076,165350.57983193276
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,4,-2.700000000000018,164671.53929539295
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,5,2.4178861788617865,165276.1056910569
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,6,35.919241192411924,165587.30352303523
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,7,0.0,165321.6882022472
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,8,21.0,164863.78753541075
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,9,0.0,165457.37037037036
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,10,20.32121212121212,165216.74848484847
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,1,12.88,164175.784
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,2,14.54871794871793,162461.38461538462
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,3,10.149999999999968,162075.27966101695
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,4,16.421848739495783,163986.59663865546
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,5,13.194214876033051,162350.80991735536
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,6,16.71454545454544,163310.23636363636
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,7,16.618518518518513,163448.78703703705
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,8,0.09999999999999978,161961.5982142857
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,9,0.09999999999999978,162563.3873873874
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,10,0.09999999999999978,162231.51754385966
baseline,baseline.com.newsblur,com.newsblur,1,7.10549999999999,182379.115
baseline,baseline.com.newsblur,com.newsblur,2,0.0,187756.538071066
baseline,baseline.com.newsblur,com.newsblur,3,11.224499999999995,183064.105
baseline,baseline.com.newsblur,com.newsblur,4,16.54697674418604,183281.59069767443
baseline,baseline.com.newsblur,com.newsblur,5,32.26408839779004,181531.37569060773
baseline,baseline.com.newsblur,com.newsblur,6,22.364739884393067,181736.88439306358
baseline,baseline.com.newsblur,com.newsblur,7,1.0999999999999963,182542.58375634518
