Treatment,Subject,App package,Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,174182,2572152.85155351,575839.8055235903,575839.8055235903,40.14844649021864,1097378.9276315789,1097378.9276315789
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,174271,2522022.2817711327,582139.3795284646,582139.3795284646,41.29457782939241,876485.1783549783,876485.1783549783
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,168016,2513036.1002386636,1633313.427804296,706306.8168257757,33.16348448687351,2668063.650097466,1153772.149122807
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,173965,2633199.34562212,983295.1538018433,983295.1538018433,40.21082949308756,1202112.9485915492,1202112.9485915492
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,174208,2610038.109383995,485843.95739781234,396122.0662061025,43.21243523316062,962270.1870011402,784565.5974914482
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,164729,2637333.5547445253,2179413.2420924576,897435.4403892944,29.03345498783455,2179413.2420924576,897435.4403892944
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,175342,2600851.8810749,95913.96169239565,95913.96169239565,42.6106346483705,762515.9954545455,762515.9954545455
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,176355,2528474.5454545454,711525.6284090909,711525.6284090909,46.00510169163223,1243580.0456802384,1243580.0456802384
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,175883,2617065.4777651085,808547.0655644241,0.0,45.225199543899656,1171091.2906688687,0.0
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,176608,2627668.5905735376,410690.6859738785,410690.6859738785,45.628052243043726,1057348.388888889,1057348.388888889
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,174480,2543295.5519816196,1905605.683515221,1905605.683515221,46.01952900631821,2021730.3443022547,2021730.3443022547
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,174489,2638014.267662263,1192647.2171165997,1192647.2171165997,42.59596295842968,1649244.483717236,1649244.483717236
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,174845,2635259.493119266,2217325.267201835,0.0,40.919151376146786,2217325.267201835,0.0
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,173836,2635239.331412104,1407575.6224783862,987534.8167146974,42.395602986487724,1568493.0667951189,1100432.1817597945
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,173887,2638377.459365994,1062753.441498559,1057168.7902017292,41.218556088000064,1062753.441498559,1057168.7902017292
