Treatment,Subject,App package,Run number,cpu,mem
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,0.10000000000000027,243123.3034188034
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,25.013304721030064,244767.63948497854
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,22.0,246514.37109375
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,24.912711864406802,244137.09322033898
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,0.10309734513274352,247789.34513274336
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,7.200000000000031,247921.25461254612
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,0.10000000000000026,243888.67099567098
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,18.86607142857141,243206.20982142858
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,16.69095022624432,245828.3076923077
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,29.0,242850.5339366516
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,0.10000000000000019,251051.7123287671
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,28.947058823529456,252503.09049773755
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,0.0,250818.2455357143
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,19.0,251145.79452054793
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,-56.39999999999978,249950.52488687783
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,29.0,248622.93103448275
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,11.60777202072534,248533.3937823834
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,5.088839285714259,254121.39732142858
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,-1.8086124401914028,251243.7990430622
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,21.0,250763.37320574163
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,1,0.5,166497.52528089887
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,2,4.545961002785515,165310.1225626741
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,3,0.5999999999999963,165482.5782122905
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,4,17.406779661016955,165807.5706214689
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,5,18.02942857142858,165722.99142857143
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,6,-37.6888283378745,165997.5340599455
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,7,7.199999999999987,165565.90331491712
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,8,0.10000000000000063,165540.91228070174
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,9,0.10000000000000062,165576.6526946108
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,10,20.284813753581663,165904.7363896848
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,1,16.790756302521007,166029.09243697478
