Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,147584,2600625.0862186016,760644.1221995926,760644.1221995926,22.04822353390677,1011217.321299639,1011217.321299639
2,147545,2544187.4052953157,166248.59266802444,166248.59266802444,22.798902535754465,241980.41205533597,241980.41205533597
3,147647,2644880.282225237,934806.6940298508,934806.6940298508,22.83502003980345,1109424.3695652173,1109424.3695652173
4,147876,2538107.6937669376,850086.8577235772,850086.8577235772,22.711853981683447,1807965.7089337176,1807965.7089337176
5,142229,2579057.9774647886,1030790.2169014085,1030790.2169014085,17.945022812933942,1352793.0757855822,1352793.0757855822
6,150991,2644939.904445919,890333.9668214996,890333.9668214996,26.04713328510305,1305188.0233463035,1305188.0233463035
7,153892,2454942.4609375,586142.666015625,0.0,28.093799167209202,2267796.3098236774,0.0
8,153560,2501034.348336595,600549.9328114807,600549.9328114807,27.68145036209267,2223775.4758454105,2223775.4758454105
9,158191,2411262.0721975933,262776.883470551,262776.883470551,33.92463584547182,877219.2367864694,877219.2367864694
10,157108,2551779.464285714,504804.61160714284,500847.393494898,32.527746820986046,504804.61160714284,500847.393494898
