RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.0,0.0,0,0,3
2,0.0,0.0,0,0,3
3,0.0,0.0,0,0,3
4,0.0,0.0,0,0,3
5,0.0,0.0,0,0,3
6,0.0,0.0,0,0,3
7,0.0,0.0,0,0,3
8,0.0,0.0,0,0,3
9,0.0,0.0,0,0,3
10,0.0,0.0,0,0,3
