RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.0,0.0,0,0,100
2,0.0,0.0,0,0,100
3,0.0,0.0,0,0,100
