Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,176992,2616559.2910532276,795422.4660249151,13604.600792751982,48.68497022530778,1083885.860339506,18538.368055555555
2,177640,2558964.0970654627,925728.6218961625,653220.6021444695,50.77073481903093,1262810.714395689,891075.3710546574
3,177994,2608727.664414414,955195.0675675676,955195.0675675676,50.241554054054056,1388237.67594108,1388237.67594108
4,178118,2464777.611705121,599258.544738323,599258.544738323,51.10917276308385,1172778.0110132159,1172778.0110132159
5,177458,2474914.797740113,652263.097740113,51845.3197740113,49.68850872993073,841476.445335277,66884.9970845481
6,177228,2616265.1787330317,643166.8150452488,643166.8150452488,48.890837104072396,1348895.5266903914,1348895.5266903914
7,175867,2630855.810826211,626408.9817663818,626408.9817663818,44.81481481481482,876672.8572567783,876672.8572567783
8,177754,2605463.4765933445,974750.0124083475,974750.0124083475,51.534686971235196,1211943.7391304348,1211943.7391304348
9,180842,2601105.889135255,477954.6119733925,477954.6119733925,56.195767535557835,809605.7464788732,809605.7464788732
10,182378,2623193.1083012642,782778.6932380429,782778.6932380429,59.360268088266274,1035545.0494545455,1035545.0494545455
