RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.011363636363636362,0.011363636363636364,2,0,348
2,0.012084592145015106,0.012084592145015106,2,0,327
3,0.012987012987012988,0.012987012987012988,2,0,304
4,0.012539184952978056,0.012539184952978056,2,0,315
5,0.012658227848101266,0.012658227848101266,2,0,312
6,0.012944983818770227,0.012944983818770227,2,0,305
7,0.012307692307692306,0.012307692307692308,2,1,320
8,0.012121212121212121,0.012121212121212121,2,0,326
9,0.012012012012012012,0.012012012012012012,2,0,329
10,0.012658227848101266,0.012658227848101266,2,0,312
