Treatment,Subject,App package,Run number,cpu,mem
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,0.10000000000000026,242427.23376623375
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,30.0,242090.7610619469
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,27.27710280373828,250409.4672897196
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,13.400888888888856,245812.4711111111
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,-1.8000000000000071,244043.47619047618
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,22.03196347031961,241420.06392694064
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,70.0,244220.58653846153
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,31.0,247299.53658536586
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,0.0,243071.63959390862
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,65.79949494949494,242648.87878787878
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,22.347393364928894,250703.30331753555
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,70.0,249403.46829268293
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,25.766502463054152,250159.66502463055
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,26.0,250894.6169154229
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,24.0,256117.4236453202
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,26.67836538461536,249639.39423076922
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,26.740196078431346,254463.27450980392
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,37.0532994923858,250930.1421319797
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,29.89899999999998,249561.085
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,31.955121951219486,249953.34146341463
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,1,0.10000000000000066,166265.98575498574
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,2,38.0,164543.85344827586
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,3,25.0,164301.13372093023
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,4,0.0,164989.8624641834
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,5,15.927220630372476,165208.78510028654
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,6,16.396848137535805,166056.3753581662
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,7,14.775460122699407,164911.4079754601
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,8,23.04179566563473,165537.6625386997
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,9,0.0,165692.24758842445
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,10,78.0,165620.24080267557
