Treatment,Subject,App package,Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,174599,2619697.4902411024,1054914.0591274397,1054265.0591274397,40.9902411021814,1054914.0591274397,1054265.0591274397
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,176086,2630345.639157655,874634.0978941377,874634.0978941377,45.89755264655663,1647086.934619507,1647086.934619507
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,177891,2536799.4295377675,806142.4064261556,806142.4064261556,50.5140924464487,1151446.5611916264,1151446.5611916264
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,175711,2626932.5248146034,1592767.5436394752,1592767.5436394752,44.1067208068704,2390514.98630137,2390514.98630137
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,174675,2635812.0206540446,965695.990246701,640728.6299483649,41.93224796571747,1212685.9589337176,804603.7478386167
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,177917,2619810.511837655,1097927.3466741827,1097927.3466741827,49.80777903043968,2092076.3834586467,2092076.3834586467
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,180838,2507827.3159301085,735769.6241685144,32571.260532150776,56.76426431040162,1122951.2707275804,49711.128595600676
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,181039,2494454.3977839337,826206.52132964,826206.52132964,57.24432132963989,1261677.4712351945,1261677.4712351945
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,184723,2498730.191096634,419292.9842562432,419292.9842562432,59.813246471226925,958235.3312655087,958235.3312655087
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,185876,2417625.3915857607,652029.1030204962,479765.33980582526,60.091185971845476,652029.1030204962,479765.33980582526
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,177686,2628455.7540891147,832840.6260575296,583554.0219966159,49.21048095945671,963226.6340508807,674912.7729941291
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,177913,2612648.2997183097,1049692.567887324,1049692.567887324,51.96334314620115,1233093.5195234944,1233093.5195234944
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,178469,2621857.737078652,730942.7870786517,730942.7870786517,51.81617251609645,1436068.6103752758,1436068.6103752758
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,4,179054,2609725.462486002,818965.7463605823,0.0,54.840879165940386,1389053.0132953466,0.0
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,5,177535,2515960.7295313384,1493209.5031055901,948155.9898362507,51.07625490165445,1628370.7081280788,1033980.4544334975
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,6,178400,2621663.7325842697,1718781.7264044944,1718781.7264044944,49.44124352985734,1873503.657685242,1873503.657685242
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,7,177747,2530490.9464184996,1072187.4703891708,1072187.4703891708,50.46048056181445,1382537.0072727273,1382537.0072727273
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,8,180991,2592850.8565096953,667577.3933518005,667577.3933518005,56.385595567867036,912170.4731264194,912170.4731264194
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,9,179729,2480233.900725042,167364.47518126047,167364.47518126047,53.25109950731745,450577.3333333333,450577.3333333333
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,10,179694,2630039.0764082544,1588786.5186837702,460882.01840490795,52.4123720896378,1588786.5186837702,460882.01840490795
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,1,156090,2483244.6033376125,361659.7163029525,357662.7163029525,18.068072196835743,361659.7163029525,357662.7163029525
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,2,157168,2560692.3671128107,417845.6736775016,417845.6736775016,19.08927795996443,1109306.027072758,1109306.027072758
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,3,157876,2574702.960851542,373394.33121827414,177893.3654822335,19.886976120229843,689074.3161592506,328290.3325526932
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,4,156082,2389489.001283697,228607.1001283697,228607.1001283697,18.51604621309371,947260.2712765958,947260.2712765958
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,5,156691,2596414.4884910486,310062.18094629154,310062.18094629154,19.09846547314578,443675.43549862766,443675.43549862766
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,6,156386,2672867.3081358103,822763.1434977578,818836.4541960282,18.657911595131328,822763.1434977578,818836.4541960282
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,7,163007,2651346.7682851874,679032.2360172096,679032.2360172096,24.274898578799903,1075740.4556962026,1075740.4556962026
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,8,163624,2385029.295774648,209249.40783833436,115621.96999387631,25.64788732394366,841636.1650246305,465050.9285714286
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,9,164232,2434955.5899938988,105515.17144600366,105515.17144600366,27.06772422208664,487153.14366197184,487153.14366197184
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,10,167752,2317453.6869773,37605.76045400239,33778.93847072879,33.43453678367156,37605.76045400239,33778.93847072879
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,1,157965,2674757.6106531387,199462.22891566265,199462.22891566265,19.65313887127457,506524.85507246375,506524.85507246375
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,2,157917,2595842.050761421,340200.8471577147,340200.8471577147,19.713832487309645,657054.5773536254,657054.5773536254
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,3,158675,2386680.4595959596,265420.70075757575,265420.70075757575,19.939979418554227,492302.5644028103,492302.5644028103
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,4,156658,2362609.445012788,1392027.9705882352,845747.8625319693,19.00831202046036,1622303.8345752608,985655.4821162444
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,5,155900,2617131.2442159383,422080.45179948583,422080.45179948583,18.19280205655527,1071382.0277324633,1071382.0277324633
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,6,157731,2644786.1880559083,388797.7986022872,61369.40279542567,19.23457583443795,568215.1671309192,89689.35933147633
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,7,151021,2671962.7737226277,365957.80889183807,362620.5136031851,15.518248175182482,365957.80889183807,362620.5136031851
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,8,162721,2677603.093596059,331445.8534482759,279588.7580049261,22.980274712441457,331445.8534482759,279588.7580049261
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,9,162700,2618433.1798029556,271503.49507389165,271503.49507389165,23.1250682496542,584776.7586206896,584776.7586206896
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,10,162896,2491152.688806888,442774.7306273063,442774.7306273063,23.36408364083641,1161212.4387096774,1161212.4387096774
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,1,66848,2358871.4071856285,636242.2694610779,636242.2694610779,28.115269461077844,836633.5354330709,836633.5354330709
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,2,67396,2400087.4413075782,783399.26448737,369404.1515601783,29.453804017848274,857280.8211382114,404242.26666666666
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,3,66902,2523151.1796407187,628871.1526946108,628871.1526946108,28.66560292588476,866156.5567010309,866156.5567010309
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,4,66139,2432088.278366112,482372.13464447804,65915.04992435704,27.173978819969744,1151075.7436823105,157291.87003610109
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,5,66269,2431957.589123867,1510529.339879154,1510529.339879154,27.665594965361763,1972328.2504930967,1972328.2504930967
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,6,65688,2598879.33484533,1134784.1981358752,1134784.1981358752,25.678353658536587,1477020.7023355835,1477020.7023355835
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,7,66846,2483675.365269461,817594.5134730539,817594.5134730539,28.33383233532934,1232851.3205417607,1232851.3205417607
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,8,67848,2333381.657817109,372491.50147492625,366513.50147492625,33.11071083613961,372491.50147492625,366513.50147492625
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,9,69785,2508530.3758967,496979.27403156384,496979.27403156384,43.42232441144565,776669.403587444,776669.403587444
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,10,69922,2527794.424068768,732720.893982808,732720.893982808,42.19914040114613,3157032.0,3157032.0
baseline,baseline.com.newsblur,com.newsblur,1,110807,2405538.8028933094,241547.26220614827,237642.57866184448,24.504052366019312,241547.26220614827,237642.57866184448
baseline,baseline.com.newsblur,com.newsblur,2,111798,2588466.7813620074,499725.18548387097,499725.18548387097,26.10849921635128,876876.2688679246,876876.2688679246
baseline,baseline.com.newsblur,com.newsblur,3,111714,2358597.6358744395,1446720.995515695,877225.5147982063,26.310571296426634,1548074.7696737044,938681.8128598848
baseline,baseline.com.newsblur,com.newsblur,4,111106,2460006.8674481516,972110.3318304779,890392.5888187556,25.062253990426715,1349274.5406758448,1235851.5406758448
baseline,baseline.com.newsblur,com.newsblur,5,110472,2462266.3463281957,1235273.7316409792,1235273.7316409792,21.051677243880327,3960775.947674419,3960775.947674419
baseline,baseline.com.newsblur,com.newsblur,6,111712,2501062.1022421527,809370.5748878923,809370.5748878923,25.914700878762893,969332.1063372717,969332.1063372717
baseline,baseline.com.newsblur,com.newsblur,7,109987,2392146.2987249545,110891.01183970856,110891.01183970856,19.494058579765827,391505.8874598071,391505.8874598071
