request_host,request_path,request_url,request_port,request_method,request_scheme,request_http_version,request_timestamp_start,request_timestamp_end,request_duration,request_header_user_agent,request_header_x_requested_with,response_size,response_http_version,response_status_code,response_reason,response_timestamp_start,response_timestamp_end,response_duration
www.newsblur.com,/social/load_user_profile,www.newsblur.com/social/load_user_profile,443,GET,https,HTTP/1.1,1595958574.0349379,1595958574.0399628,0.005024909973144531,NewsBlur Android app (Huawei Nexus 6P 6.0 unknown_version),NA,515,HTTP/1.1,200,OK,1595958574.3512807,1595958574.3569517,0.005671024322509766
www.newsblur.com,/media/img/reader/default_profile_photo.png,www.newsblur.com/media/img/reader/default_profile_photo.png,443,GET,https,HTTP/1.1,1595958574.8866277,1595958574.8897657,0.0031380653381347656,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,17022,HTTP/1.1,200,OK,1595958575.0832667,1595958575.0866084,0.0033416748046875
www.newsblur.com,/reader/feeds/?update_counts=true,www.newsblur.com/reader/feeds/?update_counts=true,443,GET,https,HTTP/1.1,1595958576.80001,1595958576.80389,0.003880023956298828,NewsBlur Android app (Huawei Nexus 6P 6.0 unknown_version),NA,86,HTTP/1.1,200,OK,1595958577.1368053,1595958577.1428332,0.006027936935424805
www.newsblur.com,/reader/unread_story_hashes?include_timestamps=1,www.newsblur.com/reader/unread_story_hashes?include_timestamps=1,443,GET,https,HTTP/1.1,1595958577.6106455,1595958577.6136162,0.0029706954956054688,NewsBlur Android app (Huawei Nexus 6P 6.0 unknown_version),NA,90,HTTP/1.1,200,OK,1595958577.935506,1595958577.9406185,0.005112409591674805
www.newsblur.com,/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true,www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true,443,GET,https,HTTP/1.1,1595958599.218636,1595958599.224307,0.005671024322509766,NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1),NA,13047,HTTP/1.1,200,OK,1595958600.008418,1595958600.011665,0.0032470226287841797
feeds.feedburner.com,/~r/retort/~4/UffaFMiJbNs,feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs,80,GET,http,HTTP/1.1,1595958600.9554765,1595958600.9687812,0.013304710388183594,okhttp/3.14.8,NA,43,HTTP/1.1,200,OK,1595958601.0320213,1595958601.038965,0.006943702697753906
pbs.twimg.com,/profile_images/847818629840228354/VXyQHfn0_normal.jpg,pbs.twimg.com/profile_images/847818629840228354/VXyQHfn0_normal.jpg,443,GET,https,HTTP/2.0,1595958602.3391688,1595958602.4534235,0.11425471305847168,okhttp/3.14.8,NA,1883,HTTP/2.0,200,NA,1595958602.5377662,1595958602.581647,0.04388070106506348
images.fastcompany.net,/image/upload/w_1280;q_auto;f_auto;fl_lossy/wp-cms/uploads/2020/07/p-1-quit-after-covid.jpg,images.fastcompany.net/image/upload/w_1280;q_auto;f_auto;fl_lossy/wp-cms/uploads/2020/07/p-1-quit-after-covid.jpg,443,GET,https,HTTP/2.0,1595958602.3450108,1595958602.4581149,0.11310410499572754,okhttp/3.14.8,NA,56376,HTTP/2.0,200,NA,1595958602.551444,1595958602.6360614,0.08461737632751465
s3.amazonaws.com,/icons.newsblur.com/5762506.png,s3.amazonaws.com/icons.newsblur.com/5762506.png,443,GET,https,HTTP/1.1,1595958602.4999125,1595958602.5366437,0.03673124313354492,okhttp/3.14.8,NA,477,HTTP/1.1,200,OK,1595958602.6762524,1595958602.6869867,0.010734319686889648
s3.amazonaws.com,/icons.newsblur.com/5762506.png,s3.amazonaws.com/icons.newsblur.com/5762506.png,443,GET,https,HTTP/1.1,1595958602.4741127,1595958602.5311205,0.057007789611816406,okhttp/3.14.8,NA,477,HTTP/1.1,200,OK,1595958602.6702173,1595958602.692736,0.022518634796142578
i.cbc.ca,/1.5665164.1595891792!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_460/ont-windsor-hum-20200727.jpg,i.cbc.ca/1.5665164.1595891792!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_460/ont-windsor-hum-20200727.jpg,443,GET,https,HTTP/2.0,1595958602.3384204,1595958602.4537961,0.11537575721740723,okhttp/3.14.8,NA,24098,HTTP/2.0,200,NA,1595958602.4889233,1595958602.7023275,0.21340417861938477
s3.amazonaws.com,/icons.newsblur.com/18178.png,s3.amazonaws.com/icons.newsblur.com/18178.png,443,GET,https,HTTP/1.1,1595958602.5210164,1595958602.536153,0.01513671875,okhttp/3.14.8,NA,243,HTTP/1.1,200,OK,1595958602.6813662,1595958602.7515743,0.07020807266235352
s3.amazonaws.com,/icons.newsblur.com/7702341.png,s3.amazonaws.com/icons.newsblur.com/7702341.png,443,GET,https,HTTP/1.1,1595958602.4905388,1595958602.531606,0.04106712341308594,okhttp/3.14.8,NA,2228,HTTP/1.1,200,OK,1595958602.70218,1595958602.7522316,0.05005168914794922
s3.amazonaws.com,/icons.newsblur.com/6326827.png,s3.amazonaws.com/icons.newsblur.com/6326827.png,443,GET,https,HTTP/1.1,1595958602.5016499,1595958602.5356603,0.03401041030883789,okhttp/3.14.8,NA,796,HTTP/1.1,200,OK,1595958602.7042363,1595958602.751431,0.047194719314575195
images.fastcompany.net,/image/upload/w_1280;q_auto;f_auto;fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png,images.fastcompany.net/image/upload/w_1280;q_auto;f_auto;fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png,443,GET,https,HTTP/2.0,1595958602.394213,1595958602.515565,0.12135195732116699,okhttp/3.14.8,NA,79351,HTTP/2.0,200,NA,1595958602.637367,1595958602.7778885,0.14052152633666992
s3.amazonaws.com,/icons.newsblur.com/6882243.png,s3.amazonaws.com/icons.newsblur.com/6882243.png,443,GET,https,HTTP/1.1,1595958602.5010376,1595958602.557825,0.05678749084472656,okhttp/3.14.8,NA,145,HTTP/1.1,200,OK,1595958602.716555,1595958602.7821026,0.06554746627807617
s3.amazonaws.com,/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif,s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif,443,GET,https,HTTP/1.1,1595958607.5847125,1595958607.5910041,0.006291627883911133,okhttp/3.14.8,NA,4737,HTTP/1.1,200,OK,1595958607.7361605,1595958607.7663085,0.030148029327392578
s3.amazonaws.com,/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif,s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif,443,GET,https,HTTP/1.1,1595958607.5841355,1595958607.618425,0.03428936004638672,okhttp/3.14.8,NA,4737,HTTP/1.1,200,OK,1595958607.740819,1595958607.7695224,0.02870345115661621
feeds.feedburner.com,/~r/retort/~4/UffaFMiJbNs,feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs,80,GET,http,HTTP/1.1,1595958607.762363,1595958607.790123,0.027760028839111328,Mozilla/5.0 (Linux; Android 6.0; Nexus 6P Build/MDB08K; wv) AppleWebKit/537.36 (KHTML; like Gecko) Version/4.0 Chrome/84.0.4147.89 Mobile Safari/537.36,NA,43,HTTP/1.1,200,OK,1595958607.8330412,1595958607.8377247,0.004683494567871094
pbs.twimg.com,/profile_images/1186729813748248576/D6FFru_U_normal.jpg,pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg,443,GET,https,HTTP/2.0,1595958607.88661,1595958607.9966075,0.10999751091003418,okhttp/3.14.8,NA,2111,HTTP/2.0,200,NA,1595958608.0676756,1595958608.0830202,0.015344619750976562
pbs.twimg.com,/profile_images/1186729813748248576/D6FFru_U_normal.jpg,pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg,443,GET,https,HTTP/2.0,1595958607.8650038,1595958607.9739032,0.10889935493469238,okhttp/3.14.8,NA,2111,HTTP/2.0,200,NA,1595958608.06621,1595958608.0884244,0.022214412689208984
pbs.twimg.com,/profile_images/1186729813748248576/D6FFru_U_normal.jpg,pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg,443,GET,https,HTTP/2.0,1595958607.9348345,1595958608.0406878,0.10585331916809082,okhttp/3.14.8,NA,2111,HTTP/2.0,200,NA,1595958608.1350894,1595958608.1447217,0.009632349014282227
pbs.twimg.com,/profile_images/1186729813748248576/D6FFru_U_normal.jpg,pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg,443,GET,https,HTTP/2.0,1595958607.9361017,1595958608.0400531,0.10395145416259766,okhttp/3.14.8,NA,2111,HTTP/2.0,200,NA,1595958608.14439,1595958608.1730669,0.028676748275756836
