request_host,request_path,request_url,request_port,request_method,request_scheme,request_http_version,request_timestamp_start,request_timestamp_end,request_duration,request_header_user_agent,request_header_x_requested_with,response_size,response_http_version,response_status_code,response_reason,response_timestamp_start,response_timestamp_end,response_duration,response_header_date,response_header_content_length,response_header_content_type
is2-ssl.mzstatic.com,/image/thumb/Podcasts113/v4/a9/39/cc/a939ccc5-6d60-0c11-0a4c-16d71cdef89b/mza_8787577209688278658.jpg/170x170bb.png,is2-ssl.mzstatic.com/image/thumb/Podcasts113/v4/a9/39/cc/a939ccc5-6d60-0c11-0a4c-16d71cdef89b/mza_8787577209688278658.jpg/170x170bb.png,443,GET,https,HTTP/2.0,1596455507.606847,1596455507.7241971,0.11735010147094727,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,48239,HTTP/2.0,200,NA,1595957637.6873133,1595957637.7582183,0.07090497016906738,NA,NA,NA
is2-ssl.mzstatic.com,/image/thumb/Podcasts114/v4/b3/4c/cf/b34ccfc2-cea4-1ca1-0fad-7793af301cc5/mza_2466085192629456364.jpg/170x170bb.png,is2-ssl.mzstatic.com/image/thumb/Podcasts114/v4/b3/4c/cf/b34ccfc2-cea4-1ca1-0fad-7793af301cc5/mza_2466085192629456364.jpg/170x170bb.png,443,GET,https,HTTP/2.0,1596455507.608877,1596455507.7179244,0.10904741287231445,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,42299,HTTP/2.0,200,NA,1595957637.7611713,1595957637.8477392,0.08656787872314453,NA,NA,NA
itunes.apple.com,/lookup?id=1524080195,itunes.apple.com/lookup?id=1524080195,443,GET,https,HTTP/2.0,1596455513.3818033,1596455513.491003,0.10919976234436035,AntennaPod/1.7.2b,NA,628,HTTP/2.0,200,NA,1595957654.472054,1595957654.4775553,0.005501270294189453,NA,NA,NA
rss.art19.com,/nice-white-parents,rss.art19.com/nice-white-parents,443,GET,https,HTTP/2.0,1596455513.7388208,1596455513.8471577,0.1083369255065918,AntennaPod/1.7.2b,NA,1803,HTTP/2.0,200,NA,1595957655.2313805,1595957655.2451217,0.013741254806518555,NA,NA,NA
content.production.cdn.art19.com,/images/89/e0/88/44/89e08844-ac28-4fc0-96fa-15a41fec2014/262c12ed699a8d9720dea0bd66449d998e4a08cf18095bed170ccaa76722045fa5dbf7a366918b2db7e3acf29ad22f6b99fd659a9409cb807bf2781d968932f8.jpeg,content.production.cdn.art19.com/images/89/e0/88/44/89e08844-ac28-4fc0-96fa-15a41fec2014/262c12ed699a8d9720dea0bd66449d998e4a08cf18095bed170ccaa76722045fa5dbf7a366918b2db7e3acf29ad22f6b99fd659a9409cb807bf2781d968932f8.jpeg,443,GET,https,HTTP/2.0,1596455514.124408,1596455514.22806,0.1036520004272461,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,2466122,HTTP/2.0,200,NA,1595957655.5733843,1595957656.7109575,1.1375732421875,NA,NA,NA
rss.art19.com,/nice-white-parents,rss.art19.com/nice-white-parents,443,GET,https,HTTP/2.0,1596455518.5254972,1596455518.629978,0.10448074340820312,AntennaPod/1.7.2b,NA,1803,HTTP/2.0,200,NA,1595957655.2313805,1595957655.2451217,0.013741254806518555,NA,NA,NA
itunes.apple.com,/lookup?id=360084272,itunes.apple.com/lookup?id=360084272,443,GET,https,HTTP/2.0,1596455524.9370766,1596455525.0474265,0.11034989356994629,AntennaPod/1.7.2b,NA,622,HTTP/2.0,200,NA,1595957641.4707208,1595957641.4875925,0.01687169075012207,NA,NA,NA
joeroganexp.joerogan.libsynpro.com,/rss,joeroganexp.joerogan.libsynpro.com/rss,80,GET,http,HTTP/1.1,1596455525.1550655,1596455525.1578705,0.002804994583129883,AntennaPod/1.7.2b,NA,307892,HTTP/1.1,200,OK,1595957642.358797,1595957643.4181356,1.0593385696411133,NA,NA,NA
static.libsyn.com,/p/assets/7/1/f/3/71f3014e14ef2722/JREiTunesImage2.jpg,static.libsyn.com/p/assets/7/1/f/3/71f3014e14ef2722/JREiTunesImage2.jpg,80,GET,http,HTTP/1.1,1596455529.137668,1596455529.1404977,0.0028297901153564453,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,402832,HTTP/1.1,200,OK,1595957647.7586236,1595957647.845658,0.08703446388244629,Mon; 03 Aug 2020 11:52:08 GMT,402832,image/jpeg
joeroganexp.joerogan.libsynpro.com,/rss,joeroganexp.joerogan.libsynpro.com/rss,80,GET,http,HTTP/1.1,1596455529.7567823,1596455529.7645588,0.007776498794555664,AntennaPod/1.7.2b,NA,307892,HTTP/1.1,200,OK,1595957642.358797,1595957643.4181356,1.0593385696411133,NA,NA,NA
