request_host,request_path,request_url,request_port,request_method,request_scheme,request_http_version,request_timestamp_start,request_timestamp_end,request_duration,request_header_user_agent,request_header_x_requested_with,response_size,response_http_version,response_status_code,response_reason,response_timestamp_start,response_timestamp_end,response_duration
connectivitycheck.gstatic.com,/generate_204,connectivitycheck.gstatic.com/generate_204,443,GET,https,HTTP/1.1,1596455783.637989,1596455783.6452951,0.007306098937988281,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/60.0.3112.32 Safari/537.36,NA,0,HTTP/1.1,204,No Content,1595958435.5776744,1595958435.579823,0.0021486282348632812
connectivitycheck.gstatic.com,/generate_204,connectivitycheck.gstatic.com/generate_204,443,GET,https,HTTP/1.1,1596455802.9519577,1596455802.9572477,0.005290031433105469,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/60.0.3112.32 Safari/537.36,NA,0,HTTP/1.1,204,No Content,1595958435.5776744,1595958435.579823,0.0021486282348632812
connectivitycheck.gstatic.com,/generate_204,connectivitycheck.gstatic.com/generate_204,443,GET,https,HTTP/1.1,1596455806.024107,1596455806.030034,0.005927085876464844,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/60.0.3112.32 Safari/537.36,NA,0,HTTP/1.1,204,No Content,1595958435.5776744,1595958435.579823,0.0021486282348632812
connectivitycheck.gstatic.com,/generate_204,connectivitycheck.gstatic.com/generate_204,443,GET,https,HTTP/1.1,1596455837.3479207,1596455837.3526812,0.0047605037689208984,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/60.0.3112.32 Safari/537.36,NA,0,HTTP/1.1,204,No Content,1595958435.5776744,1595958435.579823,0.0021486282348632812
project-travel-mate.herokuapp.com,/api/get-user,project-travel-mate.herokuapp.com/api/get-user,443,GET,https,HTTP/1.1,1596455854.3430426,1596455854.3501396,0.007097005844116211,okhttp/3.14.8,NA,185,HTTP/1.1,200,OK,1595961920.4717288,1595961920.4786305,0.006901741027832031
project-travel-mate.herokuapp.com,/api/get-all-cities/10,project-travel-mate.herokuapp.com/api/get-all-cities/10,443,GET,https,HTTP/1.1,1596455854.4432626,1596455854.449725,0.0064623355865478516,okhttp/3.14.8,NA,1588,HTTP/1.1,200,OK,1595961920.5739076,1595961920.576813,0.0029053688049316406
raw.githubusercontent.com,/btford/philosobot/master/quotes/travel.json,raw.githubusercontent.com/btford/philosobot/master/quotes/travel.json,443,GET,https,HTTP/1.1,1596455854.5458717,1596455854.549091,0.0032193660736083984,okhttp/3.14.8,NA,760,HTTP/1.1,200,OK,1595961920.6836717,1595961920.6890008,0.005329132080078125
project-travel-mate.herokuapp.com,/api/number-of-unread-notifications,project-travel-mate.herokuapp.com/api/number-of-unread-notifications,443,GET,https,HTTP/1.1,1596455854.6318734,1596455854.63869,0.0068166255950927734,okhttp/3.14.8,NA,36,HTTP/1.1,200,OK,1595961920.6679697,1595961920.6729584,0.004988670349121094
lh3.ggpht.com,/_YLb7tJ8RoAk/SfazBLdgf3I/AAAAAAAANEg/p52_Zz_URxg/s640/Picture%20009.jpg,lh3.ggpht.com/_YLb7tJ8RoAk/SfazBLdgf3I/AAAAAAAANEg/p52_Zz_URxg/s640/Picture%20009.jpg,80,GET,http,HTTP/1.1,1596455855.0657976,1596455855.072952,0.0071544647216796875,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,49536,HTTP/1.1,200,OK,1595961921.131408,1595961921.1590393,0.027631282806396484
upload.wikimedia.org,/wikipedia/commons/9/94/%E0%B4%96%E0%B5%81%E0%B4%A4%E0%B5%8D%E0%B4%AC%E0%B5%8D_%E0%B4%AE%E0%B4%BF%E0%B4%A8%E0%B4%BE%E0%B5%BC1.jpg,upload.wikimedia.org/wikipedia/commons/9/94/%E0%B4%96%E0%B5%81%E0%B4%A4%E0%B5%8D%E0%B4%AC%E0%B5%8D_%E0%B4%AE%E0%B4%BF%E0%B4%A8%E0%B4%BE%E0%B5%BC1.jpg,443,GET,https,HTTP/1.1,1596455855.1692457,1596455855.1808202,0.011574506759643555,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,244619,HTTP/1.1,200,OK,1595961922.128014,1595961922.189309,0.0612947940826416
static1.squarespace.com,/static/55917ae2e4b0984fc8c264c4/t/5ad7a037758d464041bfba27/1524102624280/Victoria_Mumbai.jpg,static1.squarespace.com/static/55917ae2e4b0984fc8c264c4/t/5ad7a037758d464041bfba27/1524102624280/Victoria_Mumbai.jpg,443,GET,https,HTTP/1.1,1596455855.1713014,1596455855.2016191,0.03031778335571289,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,0,HTTP/1.1,301,Moved Permanently,1595961922.1294127,1595961922.1568387,0.02742600440979004
static1.squarespace.com,/static/55917ae2e4b0984fc8c264c4/t/5ad7a037758d464041bfba27/1524102624280/Victoria_Mumbai.jpg,static1.squarespace.com/static/55917ae2e4b0984fc8c264c4/t/5ad7a037758d464041bfba27/1524102624280/Victoria_Mumbai.jpg,443,GET,https,HTTP/1.1,1596455855.3155553,1596455855.3181427,0.0025873184204101562,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,0,HTTP/1.1,301,Moved Permanently,1595961922.1294127,1595961922.1568387,0.02742600440979004
images.squarespace-cdn.com,/content/55917ae2e4b0984fc8c264c4/1524080696124-EPNKGW81IJCU0QMO1VYR/Victoria_Mumbai.jpg?content-type=image%2Fjpeg,images.squarespace-cdn.com/content/55917ae2e4b0984fc8c264c4/1524080696124-EPNKGW81IJCU0QMO1VYR/Victoria_Mumbai.jpg?content-type=image%2Fjpeg,443,GET,https,HTTP/1.1,1596455855.4153905,1596455855.4200256,0.0046350955963134766,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,118765,HTTP/1.1,200,OK,1595961922.360655,1595961922.4049726,0.04431748390197754
images.squarespace-cdn.com,/content/55917ae2e4b0984fc8c264c4/1524080696124-EPNKGW81IJCU0QMO1VYR/Victoria_Mumbai.jpg?content-type=image%2Fjpeg,images.squarespace-cdn.com/content/55917ae2e4b0984fc8c264c4/1524080696124-EPNKGW81IJCU0QMO1VYR/Victoria_Mumbai.jpg?content-type=image%2Fjpeg,443,GET,https,HTTP/1.1,1596455855.4731495,1596455855.4781442,0.004994630813598633,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,118765,HTTP/1.1,200,OK,1595961922.360655,1595961922.4049726,0.04431748390197754
www.zricks.com,/ImagesPostProject/47929//6557d975-20a9-4c6c-a776-8072a1936a76.jpg,www.zricks.com/ImagesPostProject/47929//6557d975-20a9-4c6c-a776-8072a1936a76.jpg,443,GET,https,HTTP/1.1,1596455855.5985572,1596455855.6047158,0.006158590316772461,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,52823,HTTP/1.1,200,OK,1595961922.4197915,1595961922.6817734,0.2619819641113281
