RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.011363636363636362,0.011363636363636364,2,0,348
2,0.012048192771084336,0.012048192771084338,2,0,328
3,0.012084592145015106,0.012084592145015106,2,0,327
4,0.010989010989010988,0.01098901098901099,2,0,360
5,0.011627906976744186,0.011627906976744186,2,0,340
6,0.012383900928792569,0.01238390092879257,2,0,319
7,0.012944983818770227,0.012944983818770227,2,0,305
8,0.012698412698412697,0.012698412698412698,2,0,311
9,0.012618296529968454,0.012618296529968454,2,0,313
10,0.012539184952978056,0.012539184952978056,2,0,315
