--------- beginning of main
--------- beginning of system
08-05 02:27:02.561 32362 32362 D Nappa   : Stayed on nappatfpr.com.ak.uobtimetable.WelcomeActivity for 6700 ms
08-05 02:27:02.600 32362 32362 D Nappa   : setCurrentActivity - MetricStrategyAccuracy - 
08-05 02:27:02.600 32362 32362 D Nappa   : madePredictionFromActivity = true, 
08-05 02:27:02.600 32362 32362 D Nappa   : fromActivity = nappatfpr.com.ak.uobtimetable.WelcomeActivity, 
08-05 02:27:02.600 32362 32362 D Nappa   : predictedNextActivityFromActivity = [nappatfpr.com.ak.uobtimetable.CourseListActivity], 
08-05 02:27:02.600 32362 32362 D Nappa   : activity.getClass().getCanonicalName() = nappatfpr.com.ak.uobtimetable.CourseListActivity, 
08-05 02:27:02.600 32362 32362 D Nappa   : setCurrentActivity - MetricStrategyAccuracy - 
08-05 02:27:02.600 32362 32362 D Nappa   : madePredictionFromExtra = false, 
08-05 02:27:02.600 32362 32362 D Nappa   : fromActivity = nappatfpr.com.ak.uobtimetable.WelcomeActivity, 
08-05 02:27:02.600 32362 32362 D Nappa   : predictedNextActivityFromExtra = [], 
08-05 02:27:02.600 32362 32362 D Nappa   : activity.getClass().getCanonicalName() = nappatfpr.com.ak.uobtimetable.CourseListActivity, 
08-05 02:27:02.600 32362 32362 D Nappa   : PREFETCH_ON_EXTRA - setCurrentActivity - logs - from activity - made prediction istrue
08-05 02:27:02.600 32362 32362 D Nappa   : PREFETCH_ON_EXTRA - setCurrentActivity - logs - from activity - start
08-05 02:27:02.600 32362 32362 D Nappa   : setCurrentActivity - MetricStrategyAccuracy - checking prediction VS current activity for activities
08-05 02:27:02.601 32362 32362 D Nappa   : PREFETCH_ON_EXTRA - setCurrentActivity - logs - from activity- finished
08-05 02:27:02.623 32362 32673 D Nappa   : TAG okHttpClient initialized
08-05 02:27:02.640 32362 32673 D Nappa   : F1_SCORE add_intercept_url - (new) - https://uob-timetable-api.adriankeenan.co.uk/courses
08-05 02:27:02.640 32362 32673 D Nappa   : F1_SCORE add_fn_url - (new) - https://uob-timetable-api.adriankeenan.co.uk/courses
08-05 02:27:02.640 32362 32673 D Nappa   : -------------F1_SCORE #0 -----------
08-05 02:27:02.640 32362 32673 D Nappa   : F1_SCORE - Intercept list (1)= [https://uob-timetable-api.adriankeenan.co.uk/courses]
08-05 02:27:02.640 32362 32673 D Nappa   : F1_SCORE - Prefetch list (0)= []
08-05 02:27:02.640 32362 32673 D Nappa   : F1_SCORE - TP list (0)= []
08-05 02:27:02.640 32362 32673 D Nappa   : F1_SCORE - FN list (1)= [https://uob-timetable-api.adriankeenan.co.uk/courses]
08-05 02:27:02.702 32362 32362 D Nappa   : registerActivity: (already in) nappatfpr.com.ak.uobtimetable.CourseListActivity
08-05 02:27:02.702 32362 32362 D Nappa   : SHOULD_PREFETCH true
08-05 02:27:02.740 32362 32382 D Nappa   : registerActivity: (already in) nappatfpr.com.ak.uobtimetable.CourseListActivity
08-05 02:27:02.740 32362 32382 D Nappa   : PARENTS 
08-05 02:27:02.740 32362 32382 D Nappa   : Of: nappatfpr.com.ak.uobtimetable.CourseListActivity -> 
08-05 02:27:02.740 32362 32382 D Nappa   : PARENTS nappatfpr.com.ak.uobtimetable.WelcomeActivity
08-05 02:27:02.740 32362 32382 D Nappa   : PARENTS nappatfpr.com.ak.uobtimetable.MainActivity
08-05 02:27:02.740 32362 32382 D Nappa   : PARENTS nappatfpr.com.ak.uobtimetable.CourseListActivity
08-05 02:27:02.802 32362 32362 D Nappa   : registerActivity: (already in) nappatfpr.com.ak.uobtimetable.CourseListActivity
08-05 02:27:02.802 32362 32362 D Nappa   : SUCCESSORS nappatfpr.com.ak.uobtimetable.MainActivity
08-05 02:27:02.802 32362 32362 D Nappa   : STATS Number of requests not prefetched: 0
08-05 02:27:02.802 32362 32362 D Nappa   : STATS Number of requests prefetched: 0
08-05 02:27:02.803 32362 32362 D Nappa   : STATS Time saved until now: 0.0
08-05 02:27:03.002 32362 32382 D Nappa   : PREFETCH_ON_EXTRA - setCurrentActivity - logs - from extra - made prediction isfalse
08-05 02:27:03.303 32362 32382 D Nappa   : PREFETCH_ON_EXTRA - setCurrentActivity - starting new prediction
08-05 02:27:03.303 32362 32382 D Nappa   : Current node - currentActivityName - nappatfpr.com.ak.uobtimetable.CourseListActivity
08-05 02:27:03.303 32362 32382 D Nappa   : Current node - activityGraph.getCurrent() - nappatfpr.com.ak.uobtimetable.CourseListActivity
08-05 02:27:03.306 32362 32382 D Nappa   : PREFETCH_ON_EXTRA - setCurrentActivity - finished new prediction
08-05 02:27:10.828 32362 32382 D Nappa   : PREFETCH_ON_EXTRA - notifyExtras- start
08-05 02:27:10.831 32362 32382 D Nappa   : PREFETCH_ON_EXTRA - notifyExtras- end
08-05 02:27:10.831 32362 32382 D Nappa   : PREFSTRAT2 ADDING NEW ACTEXTRADATA
08-05 02:27:10.856 32362 32362 D Nappa   : Stayed on nappatfpr.com.ak.uobtimetable.CourseListActivity for 8053 ms
08-05 02:27:10.975 32362   576 D Nappa   : TAG okHttpClient initialized
08-05 02:27:10.978 32362   576 D Nappa   : F1_SCORE add_intercept_url - (new) - https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses
08-05 02:27:10.978 32362   576 D Nappa   : F1_SCORE add_fn_url - (new) - https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses
08-05 02:27:10.978 32362   576 D Nappa   : -------------F1_SCORE #3 -----------
08-05 02:27:10.978 32362   576 D Nappa   : F1_SCORE - Intercept list (2)= [https://uob-timetable-api.adriankeenan.co.uk/courses, https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses]
08-05 02:27:10.978 32362   576 D Nappa   : F1_SCORE - Prefetch list (0)= []
08-05 02:27:10.978 32362   576 D Nappa   : F1_SCORE - TP list (0)= []
08-05 02:27:10.978 32362   576 D Nappa   : F1_SCORE - FN list (2)= [https://uob-timetable-api.adriankeenan.co.uk/courses, https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses]
08-05 02:27:11.078 32362 32382 D Nappa   : registerActivity: (already in) nappatfpr.com.ak.uobtimetable.CourseListActivity
08-05 02:27:11.079 32362 32382 D Nappa   : PARENTS 
