Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,143351,2628316.9419986024,821837.393431167,821837.393431167,29.11327249615556,1893799.2109500805,1893799.2109500805
2,132805,2657009.560754717,2215090.1411320753,1662027.4422641508,21.150188679245282,2431644.1068765535,1824512.312344656
3,143513,2629812.52756455,786093.2044661549,786093.2044661549,29.493370551290997,1288869.0640732266,1288869.0640732266
4,142317,2538419.9126760564,1167437.4767605634,1167437.4767605634,27.624647887323945,1556583.302347418,1556583.302347418
5,145249,2667478.1986206896,702124.2565517242,22582.17103448276,32.144827586206894,1425882.593837535,45860.1512605042
6,148465,2666038.8582995953,535861.9952766532,531853.2759784076,37.081646423751685,535861.9952766532,531853.2759784076
7,150814,2577531.015957447,814959.1928191489,810961.1875,42.8251329787234,814959.1928191489,810961.1875
8,142647,2663517.613492621,944607.6858749122,0.0,28.486296556570625,1462651.5092491838,0.0
9,148151,2672698.855983773,1001026.9263015551,1001026.9263015551,35.7455858238005,1369582.6308973173,1369582.6308973173
10,146787,2636970.490102389,609250.809556314,609250.809556314,34.05597269624573,1948804.4454148472,1948804.4454148472
