RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",560417,0,1,3,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",293958,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",255781,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63802,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66563,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",399167,0,1,3,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53385,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",903281,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51927,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55782,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55261,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54688,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59948,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",777657,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66770,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",566407,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",498020,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43698,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45521,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3001250,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49219,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",565157,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",533698,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54271,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",607291,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",77865,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",406041,0,1,3,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",252448,0,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",272032,0,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62084,0,0,0,True
