Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,147385,2608747.8531611147,588358.8368456832,588358.8368456832,22.065295925162708,1042741.9867469879,1042741.9867469879
2,147397,2555990.1481985045,927865.5370496261,927865.5370496261,21.90210740992522,1003595.7389705882,1003595.7389705882
3,147339,2519624.048946295,1006962.3976886472,799168.7185588035,21.875594833446634,1439496.2944606415,1142446.2439261419
4,150116,2495556.9238985316,371096.7069425901,371096.7069425901,23.842456608811748,895173.6988727858,895173.6988727858
5,147876,2436651.8807588075,1005664.1436314363,874997.1924119241,22.841463414634145,2356127.422222222,2049993.4222222222
6,145776,2537156.670790378,761231.547766323,761231.547766323,20.481786941580754,1113157.6904522614,1113157.6904522614
7,145925,2373109.3122855183,529745.46945779,529745.46945779,20.700754975978036,1240898.9533762059,1240898.9533762059
8,155817,2544376.3655083654,391896.9485199485,387901.3481338481,31.682110682110682,391896.9485199485,387901.3481338481
9,155519,2484468.025773196,203705.21585051547,200382.21585051547,29.576030927835053,203705.21585051547,200382.21585051547
10,155477,2483359.9716494847,320535.6681701031,235568.11018041236,29.97484248791051,320535.6681701031,235568.11018041236
