--------- beginning of main
--------- beginning of system
08-05 15:26:33.537  4171 10051 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 15:26:33.545  4171 10055 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 15:26:33.546  4171 10055 D CustomInterceptor: HEADER REQUEST
08-05 15:26:33.546  4171 10055 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 15:26:33.546  4171 10055 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=3,misses=8,hitRate=27%]', 
08-05 15:26:33.546  4171 10055 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 15:26:33.556  4171 10049 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 15:26:33.557  4171 10049 D CustomInterceptor: HEADER REQUEST
08-05 15:26:33.557  4171 10049 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 15:26:33.557  4171 10049 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '9', toString = 'LruCache[maxSize=100,hits=3,misses=9,hitRate=25%]', 
08-05 15:26:33.557  4171 10049 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 15:26:33.565  4171 10054 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 15:26:33.566  4171 10054 D CustomInterceptor: HEADER REQUEST
08-05 15:26:33.566  4171 10054 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 15:26:33.566  4171 10054 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '10', toString = 'LruCache[maxSize=100,hits=3,misses=10,hitRate=23%]', 
08-05 15:26:33.566  4171 10054 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 15:26:33.612  4171 10049 D CustomInterceptor: HEADER RESPONSE
08-05 15:26:33.612  4171 10049 D CustomInterceptor: Cache-Control max-age=3600
08-05 15:26:33.612  4171 10049 D CustomInterceptor: Content-Length 43
08-05 15:26:33.612  4171 10049 D CustomInterceptor: Content-Type image/gif
08-05 15:26:33.613  4171 10049 D CustomInterceptor: Date Wed, 05 Aug 2020 13:26:29 GMT
08-05 15:26:33.613  4171 10049 D CustomInterceptor: Expires Wed, 05 Aug 2020 14:26:29 GMT
08-05 15:26:33.613  4171 10049 D CustomInterceptor: Server GSE
08-05 15:26:33.613  4171 10049 D CustomInterceptor: X-Content-Type-Options nosniff
08-05 15:26:33.613  4171 10049 D CustomInterceptor: X-XSS-Protection 1; mode=block
08-05 15:26:33.613  4171 10049 D CustomInterceptor: CACHEABLE true
08-05 15:26:33.613  4171 10049 D CustomInterceptor: REQ http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 15:26:33.613  4171 10049 D CustomInterceptor: REQ_SERV_BY net
08-05 15:26:33.613  4171 10049 D CustomInterceptor: PREFLIB Adding response to lrucache - http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 15:26:33.616  4171 10049 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 15:26:33.885  4171 10042 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-05 15:26:33.889  4171 10042 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
