Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,155002,2526291.3872010345,562990.246929541,508078.81189398834,17.59378307536032,981900.6899661781,886130.6899661781
2,155464,2601555.3841518094,594845.8518041237,594845.8518041237,17.615079727521522,1068519.400462963,1068519.400462963
3,154806,2591592.3805825245,1189400.4019417476,853179.2161812298,17.581229773462784,1334512.4335511983,957270.7981118374
4,150975,2382851.0258792304,948063.5560716656,948063.5560716656,15.28865295288653,1629112.6328392245,1629112.6328392245
5,150762,2644767.0511627905,974960.2245847177,974960.2245847177,15.338870431893687,1185230.3214862682,1185230.3214862682
6,151160,2625435.9946984756,566082.3028495692,566082.3028495692,15.346587143803843,1074488.2955974843,1074488.2955974843
7,155105,2465883.11627907,725486.7810077519,725486.7810077519,17.525193798449614,1240943.1348066297,1240943.1348066297
8,155748,2594233.618006431,571867.0295819936,571867.0295819936,18.953054662379422,892824.5291164658,892824.5291164658
9,156264,2666640.2384615387,956553.6378205129,956553.6378205129,18.378205128205128,1802202.5060386474,1802202.5060386474
10,162893,2693829.7392373923,388627.8062730627,384634.93419434194,22.809837526419543,388627.8062730627,384634.93419434194
