Run number,cpu,mem
1,10.914814814814813,181721.14814814815
2,70.0,181207.0093457944
3,0.0,182072.60747663552
4,23.0,180939.99082568806
5,44.0,180795.36363636365
6,0.0,179597.03636363638
7,16.826363636363638,181283.9090909091
8,10.0,181313.12844036697
9,26.0,179780.43689320388
10,0.5767676767676811,180115.69696969696
