Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,140639,2663833.418803419,1333050.678062678,1333050.678062678,26.467236467236468,1455367.9253499222,1455367.9253499222
2,143853,2594269.097493036,955085.9331476323,955085.9331476323,29.582564051334177,1979081.3852813854,1979081.3852813854
3,143858,2671924.275766017,827668.6441504179,827668.6441504179,28.716362380800895,1275249.1126609442,1275249.1126609442
4,142242,2593856.9971830985,1079434.5683098591,1079434.5683098591,27.921057329894865,1101147.3326149425,1101147.3326149425
5,142049,2663430.2849083217,1808652.2200282088,1808652.2200282088,27.82143993904683,2063289.4995977473,2063289.4995977473
6,134590,2672077.151785714,1764661.0558035714,1764007.439732143,22.36931002869898,1781896.6634109693,1781236.6634109693
7,142123,2659758.412966878,1005353.0338266385,1005353.0338266385,28.32791258869237,1251399.9605263157,1251399.9605263157
8,143886,2668538.7846689895,988689.2452961672,988689.2452961672,30.370034843205573,2032620.4398280801,2032620.4398280801
9,143927,2646122.988857939,621329.311281337,621329.311281337,29.564763231197773,1142418.5544174137,1142418.5544174137
10,145668,2670851.3860977287,897843.3454920853,897843.3454920853,33.24913971094288,1401252.8259935554,1401252.8259935554
