Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,142463,2661072.3319268636,748651.4099859353,300019.35302390996,27.969022058430806,958219.896489649,384003.1683168317
2,133228,2619334.7759398497,1144158.1541353383,1144158.1541353383,21.282706766917293,1244260.2984464432,1244260.2984464432
3,134538,2661227.088607595,1433621.0826507818,1433621.0826507818,22.07673887768629,2187901.265909091,2187901.265909091
4,140162,2651455.002144389,1053000.8706218728,1053000.8706218728,25.96854896354539,1716955.965034965,1716955.965034965
5,139864,2592700.6733524357,805433.2063037249,805433.2063037249,25.1310888252149,1313533.593457944,1313533.593457944
6,148355,2627273.272113437,423578.3727211344,423578.3727211344,37.14517218095881,1515264.6618357487,1515264.6618357487
7,148761,2623476.3124579126,243056.78855218855,243056.78855218855,38.602693602693606,720437.7864271457,720437.7864271457
8,150009,2590285.4134936538,316211.05811623245,316211.05811623245,40.140280561122246,781135.2376237623,781135.2376237623
9,150176,2663588.923282188,330704.2753875054,242685.23912539423,40.176217100036894,640472.4919972488,470006.68404259166
10,145991,2658148.840082361,588532.459162663,588532.459162663,33.27539641302796,794709.7247451344,794709.7247451344
