Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,142755,2545842.798596491,919767.4119298245,116564.97403508773,28.51824438288704,1628159.704347826,206341.72422360248
2,141343,2558828.147413182,902450.6201275691,902450.6201275691,27.01417434443657,1788423.9115168538,1788423.9115168538
3,141940,2626759.822159492,514438.74735356384,514438.74735356384,27.597035991531403,782145.606223176,782145.606223176
4,141156,2661466.6941092974,614844.6941092974,614844.6941092974,26.80680467903536,878616.8093306288,878616.8093306288
5,143030,2666386.7282913164,1273944.9390756302,1273944.9390756302,28.43767507002801,1565570.8889845095,1565570.8889845095
6,143054,2550293.5854341737,632825.9152661065,632825.9152661065,29.242452373106108,1082245.9964071857,1082245.9964071857
7,143138,2513445.5031490554,481560.36599020293,481560.36599020293,29.153953813855843,1034811.6736842105,1034811.6736842105
8,132685,2665714.683773585,1125393.275471698,1118710.275471698,21.062641509433963,1125393.275471698,1118710.275471698
9,145762,2660672.819243986,607566.0219931272,607566.0219931272,33.09558271631181,1103631.163545568,1103631.163545568
10,147052,2668075.2397820163,409933.0204359673,409933.0204359673,34.02316076294278,686965.3812785388,686965.3812785388
