Treatment,Subject,App package,Run number,cpu,mem
nappatfpr,nappatfpr.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,1,18.591764705882362,163544.76470588235
nappatfpr,nappatfpr.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,2,4.299999999999979,163153.90384615384
nappatfpr,nappatfpr.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,3,22.0,162582.80681818182
baseline,baseline.org.quantumbadger.redreader,org.quantumbadger.redreader,1,84.08561151079138,156404.76978417265
baseline,baseline.org.quantumbadger.redreader,org.quantumbadger.redreader,2,23.30238095238095,156594.66666666666
baseline,baseline.org.quantumbadger.redreader,org.quantumbadger.redreader,3,24.679133858267726,155721.031496063
nappatfpr,nappatfpr.org.quantumbadger.redreader,org.quantumbadger.redreader,1,85.0,159812.01265822785
nappatfpr,nappatfpr.org.quantumbadger.redreader,org.quantumbadger.redreader,2,0.9000000000000037,160773.23456790124
nappatfpr,nappatfpr.org.quantumbadger.redreader,org.quantumbadger.redreader,3,21.19344262295088,160870.05327868852
nappagreedy,nappagreedy.com.newsblur,com.newsblur,1,7.099999999999983,179048.45971563982
nappagreedy,nappagreedy.com.newsblur,com.newsblur,2,21.1654970760234,175548.63157894736
nappagreedy,nappagreedy.com.newsblur,com.newsblur,3,16.36954022988507,176326.9195402299
