TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",231302,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",82135,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47865,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1280468,0,2,1,False
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",811875,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",578386,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",730000,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1705209,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",894843,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",290468,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",541510,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",787500,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3583750,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",580261,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",648021,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",661250,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1102500,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",305781,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",591875,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",514844,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",697760,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",548698,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",989532,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",676770,0,3,1,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",777968,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45625,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",510052,0,1,1,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46979,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",269479,0,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52708,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",336510,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",95677,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",302812,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57760,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",354271,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62188,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4377083,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52969,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",913073,1,1,3,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55989,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2786979,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69167,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1537344,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57917,0,0,0,True
