RUN_NUMBER,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
1,20,20,35.0,77.77777777777777,7,2,0,0,11
2,20,20,65.0,92.85714285714286,13,1,0,0,6
3,20,20,65.0,92.85714285714286,13,1,0,0,6
4,20,20,70.0,100.0,14,0,0,0,6
5,20,20,70.0,100.0,14,0,0,0,6
6,20,20,70.0,100.0,14,0,0,0,6
7,20,20,70.0,100.0,14,0,0,0,6
8,20,20,70.0,100.0,14,0,0,0,6
9,20,20,70.0,100.0,14,0,0,0,6
10,20,20,70.0,100.0,14,0,0,0,6
