Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,175068,2609587.8053806527,764139.473955352,764139.473955352,43.58385804235833,1412647.2603174604,1412647.2603174604
2,175816,2559175.541619156,1031205.1573546181,1031205.1573546181,46.581274077560465,1402119.2604651162,1402119.2604651162
3,174511,2613106.828259621,505984.02412406664,505984.02412406664,44.25860608805901,839769.4814108675,839769.4814108675
4,167418,2517856.7875523637,971380.8240574506,971380.8240574506,33.51974847443326,1521253.3805060918,1521253.3805060918
5,176679,2466288.6262053316,389520.70504821325,389520.70504821325,46.30191472857493,663502.4183574879,663502.4183574879
6,175172,2539034.7459954233,1427981.168764302,1427981.168764302,42.84610983981693,1722643.9496204278,1722643.9496204278
7,180574,2629652.692948362,1401469.2981676846,0.0,52.39942828973107,1583466.879548306,0.0
8,178723,2609446.3286595624,583965.6281547953,583965.6281547953,52.74914165661924,1047495.6891348088,1047495.6891348088
9,184381,2617276.6808047853,771346.1457313758,768009.3697661773,65.45350734094616,771346.1457313758,768009.3697661773
10,178938,2551478.6778711486,1635077.174789916,1635077.174789916,51.59247259688188,1803839.7756489494,1803839.7756489494
