RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.012269938650306747,0.012269938650306749,2,0,322
2,0.011560693641618497,0.011560693641618497,2,0,342
3,0.011904761904761906,0.011904761904761904,2,0,332
4,0.011869436201780414,0.011869436201780416,2,0,333
5,0.012048192771084336,0.012048192771084338,2,0,328
6,0.01146131805157593,0.011461318051575931,2,0,345
7,0.012084592145015106,0.012084592145015106,2,0,327
8,0.011331444759206801,0.0113314447592068,2,0,349
9,0.012048192771084336,0.012048192771084338,2,0,328
10,0.012048192771084338,0.012048192771084338,2,1,327
