Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,112109,2619081.27971403,768719.6633659729,768719.6633659729,27.805881192594242,1493398.0960182704,1493398.0960182704
2,112511,2471779.46571683,1143508.822796082,0.0,28.426002415296136,1579533.0971709718,0.0
3,111699,2500296.322869955,1171813.0331838564,1171813.0331838564,27.68938526815339,2127966.6644951142,2127966.6644951142
4,112196,2613917.325,876127.3964285714,876127.3964285714,29.008928571428573,1081877.270121279,1081877.270121279
5,111877,2372240.458781362,317639.64784946234,317639.64784946234,29.158602150537636,906613.4194373401,906613.4194373401
6,111005,2574646.025270758,948834.6768953069,948834.6768953069,25.485977433564884,1617398.1876923076,1617398.1876923076
7,110885,2493844.1011743452,498414.0135501355,211525.29810298103,23.321861619700208,910469.1633663366,386400.1732673267
8,112310,2598320.0356824263,466338.48795718106,466338.48795718106,28.427655949471646,1180057.4379232505,1180057.4379232505
9,113347,2548386.157382847,632822.365163572,632160.365163572,31.2185596652806,632822.365163572,632160.365163572
10,113896,2472830.6068601585,567078.0439753738,567078.0439753738,33.45558487247142,834110.9133247089,834110.9133247089
