Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,156330,2688784.964102564,524467.2788461539,422755.29038461536,19.93525641025641,524467.2788461539,422755.29038461536
2,157660,2542227.7712833546,248162.98919949174,182719.55209656924,19.510800508259212,556422.4287749288,409687.4287749288
3,159031,2674378.563327032,760928.6187775678,760928.6187775678,20.26985323808877,1932149.9488,1932149.9488
4,156404,2365963.672005125,501173.56566303654,501173.56566303654,18.433696348494554,836718.6481283422,836718.6481283422
5,156169,2500425.9268762027,455045.5907633098,105840.60872354073,18.65875561257216,913019.4028314028,212362.30244530246
6,155615,2543534.387636832,293147.02318094013,237669.1159047006,17.777849323889246,929096.5857142857,753265.5857142857
7,158598,2673400.229943146,250959.89324068226,250959.89324068226,19.761054061053784,533247.6657718121,533247.6657718121
8,160486,2630341.1068082447,739102.15477366,259823.97738296763,20.74016239850094,1577736.7330568396,554637.5837201749
9,159595,2693602.9271356785,215839.2864321608,215839.2864321608,20.75439698492462,775657.2099322799,775657.2099322799
10,164135,2438768.336996337,506187.2338217338,499050.07081807085,25.75152625152625,1075401.6718547342,1060238.6718547342
