RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3039948,2,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53907,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",229948,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2950572,2,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52344,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",11349063,2,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",85573,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3749167,2,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5301459,2,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43854,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1019480,0,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6182187,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55260,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2422396,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48750,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3762344,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51875,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58802,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55208,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2937813,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4140886,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49583,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",665208,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",561354,0,2,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",262500,0,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5026354,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58021,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",12464166,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56146,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",361927,0,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6381771,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48021,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3839896,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",82500,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4088854,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7093281,2,1,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57187,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1016146,0,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4756354,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60521,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6446927,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48646,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4270364,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49739,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49219,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50104,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4115365,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5915938,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40781,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",547917,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",359532,0,2,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",251927,0,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5086615,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40886,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6884167,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41875,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",403489,0,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4718854,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50416,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",9705208,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48958,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4125625,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",11304479,2,1,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44010,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",784635,0,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5244322,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59063,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",12401927,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60730,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5372083,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54323,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45937,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52188,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4214219,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3554062,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46198,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",579167,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",603490,0,2,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",220052,0,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7241875,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40937,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7288125,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55729,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",232396,0,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6424271,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",79791,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5012447,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",67240,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3933438,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7725208,2,1,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46042,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",867656,0,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7394636,2,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",36927,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4946146,2,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62708,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57083,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50365,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42656,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43438,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4859844,2,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",13977292,2,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55677,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",560781,0,3,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",664271,0,2,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1650156,0,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6654062,2,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68021,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",9746979,2,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",78594,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",443229,0,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4474532,2,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61094,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5848698,2,1,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69427,0,0,0,True
