--------- beginning of main
--------- beginning of system
08-05 17:48:23.257 32011 32011 D Nappa   : Selected prefetching strategy STRATEGY_TFPR
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.SplashActivity: 1
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.MainActivity: 2
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.destinations.description.FinalCityInfoActivity: 3
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.destinations.description.CityHistoryActivity: 4
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.destinations.funfacts.FunFactsActivity: 5
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.utilities.ChecklistActivity: 6
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.utilities.CompassActivity: 7
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.utilities.UpcomingWeekendsActivity: 8
08-05 17:48:23.357 32011 32025 D Nappa   : Updating activity map nappatfpr.io.github.project_travel_mate.notifications.NotificationsActivity: 9
08-05 17:48:23.458 32011 32025 D Nappa   : registerActivity: (already in) nappatfpr.io.github.project_travel_mate.SplashActivity
08-05 17:48:23.564 32011 32025 D Nappa   : registerActivity: (already in) nappatfpr.io.github.project_travel_mate.MainActivity
08-05 17:48:23.567 32011 32028 D Nappa   : {nappatfpr.io.github.project_travel_mate.SplashActivity=1, nappatfpr.io.github.project_travel_mate.destinations.funfacts.FunFactsActivity=5, nappatfpr.io.github.project_travel_mate.MainActivity=2, nappatfpr.io.github.project_travel_mate.utilities.UpcomingWeekendsActivity=8, nappatfpr.io.github.project_travel_mate.utilities.ChecklistActivity=6, nappatfpr.io.github.project_travel_mate.utilities.CompassActivity=7, nappatfpr.io.github.project_travel_mate.notifications.NotificationsActivity=9, nappatfpr.io.github.project_travel_mate.destinations.description.CityHistoryActivity=4, nappatfpr.io.github.project_travel_mate.destinations.description.FinalCityInfoActivity=3}
08-05 17:48:23.680 32011 32025 D Nappa   : registerActivity: (already in) nappatfpr.io.github.project_travel_mate.MainActivity
08-05 17:48:23.784 32011 32025 D Nappa   : registerActivity: (already in) nappatfpr.io.github.project_travel_mate.destinations.description.FinalCityInfoActivity
08-05 17:48:23.785 32011 32028 D Nappa   : {nappatfpr.io.github.project_travel_mate.SplashActivity=1, nappatfpr.io.github.project_travel_mate.destinations.funfacts.FunFactsActivity=5, nappatfpr.io.github.project_travel_mate.MainActivity=2, nappatfpr.io.github.project_travel_mate.utilities.UpcomingWeekendsActivity=8, nappatfpr.io.github.project_travel_mate.utilities.ChecklistActivity=6, nappatfpr.io.github.project_travel_mate.utilities.CompassActivity=7, nappatfpr.io.github.project_travel_mate.notifications.NotificationsActivity=9, nappatfpr.io.github.project_travel_mate.destinations.description.CityHistoryActivity=4, nappatfpr.io.github.project_travel_mate.destinations.description.FinalCityInfoActivity=3}
08-05 17:48:23.886 32011 32025 D Nappa   : registerActivity: (already in) nappatfpr.io.github.project_travel_mate.utilities.ChecklistActivity
08-05 17:48:23.888 32011 32028 D Nappa   : {nappatfpr.io.github.project_travel_mate.SplashActivity=1, nappatfpr.io.github.project_travel_mate.destinations.funfacts.FunFactsActivity=5, nappatfpr.io.github.project_travel_mate.MainActivity=2, nappatfpr.io.github.project_travel_mate.utilities.UpcomingWeekendsActivity=8, nappatfpr.io.github.project_travel_mate.utilities.ChecklistActivity=6, nappatfpr.io.github.project_travel_mate.utilities.CompassActivity=7, nappatfpr.io.github.project_travel_mate.notifications.NotificationsActivity=9, nappatfpr.io.github.project_travel_mate.destinations.description.CityHistoryActivity=4, nappatfpr.io.github.project_travel_mate.destinations.description.FinalCityInfoActivity=3}
08-05 17:48:23.989 32011 32025 D Nappa   : registerActivity: (already in) nappatfpr.io.github.project_travel_mate.utilities.CompassActivity
