Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,141253,2544098.8425531914,1245934.4638297872,1245934.4638297872,26.8,1266595.2372025955,1266595.2372025955
2,142540,2636416.747716093,956597.1876317639,956597.1876317639,27.513703443429375,982134.0533910533,982134.0533910533
3,141209,2667161.7998580555,308450.4556422995,308450.4556422995,26.217175301632363,699849.7455716586,699849.7455716586
4,143075,2616909.529411765,1726364.387254902,1726364.387254902,28.511204481792717,1984902.0491143318,1984902.0491143318
5,141937,2665317.9280169373,891538.2956951306,891538.2956951306,27.680777174435438,2034315.2415458937,2034315.2415458937
6,139118,2627272.4434845215,1484190.6645068394,1484190.6645068394,25.333333333333332,2318943.5691788527,2318943.5691788527
7,141723,2662907.4657243816,1022554.7978798586,1022554.7978798586,28.162645057373673,1283864.2759538598,1283864.2759538598
8,141315,2641221.9305457124,734128.8164422396,554212.8653437279,27.666652770250554,940831.7529518619,710258.267938238
9,147194,2668092.8168822327,232780.82368958477,232780.82368958477,35.02382573179033,502875.04411764705,502875.04411764705
10,145775,2595267.972508591,906345.8934707904,906345.8934707904,31.73794924481289,1602349.0583232078,1602349.0583232078
