Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,109584,2624569.4734917735,1012776.3226691042,1012776.3226691042,22.428160583404914,1828345.3745874588,1828345.3745874588
2,111770,2551000.2473118277,644735.4847670251,644735.4847670251,29.89863070232911,793301.875413451,793301.875413451
3,109802,2539366.770072993,229359.6003649635,229359.6003649635,22.80180750173158,347207.3508287293,347207.3508287293
4,107583,2410141.407821229,640941.9366852887,640941.9366852887,19.403524650707947,1046157.5075987842,1046157.5075987842
5,112325,2404373.966101695,545128.9518287244,470314.5664585192,27.858906402067095,988818.0501618123,853111.0501618123
6,113907,2379651.0325417765,632032.6052914325,632032.6052914325,33.13905887285354,1049081.857250159,1049081.857250159
7,110459,2627662.6460980037,338131.6950998185,91252.83575317604,23.794010889292196,338131.6950998185,91252.83575317604
8,113911,2377875.0704225353,236999.50176056338,232999.8661971831,32.61179577464789,236999.50176056338,232999.8661971831
9,113610,2615703.312169312,502509.35802469135,0.0,30.24426807760141,502509.35802469135,0.0
10,111808,2445218.8207885306,72539.12186379929,72539.12186379929,26.511189475983095,316225.234375,316225.234375
