Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,156887,2566551.103448276,958630.6398467433,958630.6398467433,27.51244884511058,1090207.394335512,1090207.394335512
2,156193,2400755.0404105196,752153.2584990378,752153.2584990378,26.255444909875862,1891301.5,1891301.5
3,156625,2469644.3608445297,462807.7760716571,462807.7760716571,26.907869481765836,741156.3053278689,741156.3053278689
4,158224,2511988.7093096897,875034.7574414186,22998.505383153893,27.676377454084864,1216267.5017605633,31967.11267605634
5,161953,2579932.4851485146,339575.3285891089,148277.864480198,31.01546799946084,722044.3828947368,315285.56447368424
6,160897,2582080.428393524,699884.9645080946,699884.9645080946,30.991265242885877,935120.8427620633,935120.8427620633
7,161017,2594580.2165525826,1798960.2831362789,1699701.2433105165,31.899813316739266,2020216.0552061496,1908749.0552061496
8,161098,2567740.355721393,1251332.3407960199,1251332.3407960199,30.63495024875622,2954687.817914831,2954687.817914831
9,160401,2365485.878825734,586058.4241099313,586058.4241099313,30.374988149583274,1334679.2844950214,1334679.2844950214
10,159195,2408825.4751415984,607353.3278791693,607353.3278791693,29.69457262227214,2880849.0686567165,2880849.0686567165
