TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",571354,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47760,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44948,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1009948,0,2,1,False
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",737709,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",528854,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",642552,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",635156,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",838281,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",492031,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",436407,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",522240,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",528646,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",579636,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",724792,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",494427,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",903281,0,3,1,True
