STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",377084,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",214844,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",248021,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",31094,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",216563,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",33958,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",203333,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42760,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",204948,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",111719,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",215052,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",67136,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",241563,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",212761,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59843,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",199062,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",34167,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44531,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47604,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",181719,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",75625,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",205209,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",343334,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35417,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",172604,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",32864,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",173125,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",30313,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",177083,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60156,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",186666,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60469,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",268437,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",176719,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",31510,0,0,0,True
