Treatment,Subject,App package,Run number,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,7,8,50.0,100.0,4,0,0,1,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,7,7,100.0,100.0,7,0,0,0,0
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,22,22,27.272727272727273,66.66666666666667,6,3,1,0,12
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,22,22,27.272727272727273,66.66666666666667,6,3,1,0,12
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
