Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,156063,2495649.2888318356,397663.37997432606,397663.37997432606,18.00513066849471,806718.1588541666,806718.1588541666
2,155480,2638619.5902061854,603355.6797680412,603355.6797680412,17.977426450074397,932677.3057768925,932677.3057768925
3,157275,2548176.6140127387,599304.9821656051,208957.58280254778,19.051617509838128,992519.8544303797,346058.444092827
4,162714,2491742.5763546797,189301.77093596058,189301.77093596058,22.289578732801086,495050.0418679549,495050.0418679549
5,162624,2350577.503388786,334387.0911891559,334387.0911891559,22.596785502911967,872524.5160771704,872524.5160771704
6,162900,2321382.5190651906,452180.7650676507,452180.7650676507,22.762452928957334,1775956.3381642513,1775956.3381642513
7,162797,2592128.657635468,254923.97475369458,251213.70628078817,22.5628078817734,254923.97475369458,251213.70628078817
8,162415,2598106.371375694,175527.26403454656,172201.26403454656,22.408389882788402,175527.26403454656,172201.26403454656
9,162509,2554937.477188656,235470.40505548706,222033.97965474724,22.503384413755985,235470.40505548706,222033.97965474724
10,158585,2475723.5906506632,354484.6721415035,354484.6721415035,19.79202750002095,930595.7479270315,930595.7479270315
