Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,174182,2572152.85155351,575839.8055235903,575839.8055235903,40.14844649021864,1097378.9276315789,1097378.9276315789
2,174271,2522022.2817711327,582139.3795284646,582139.3795284646,41.29457782939241,876485.1783549783,876485.1783549783
3,168016,2513036.1002386636,1633313.427804296,706306.8168257757,33.16348448687351,2668063.650097466,1153772.149122807
4,173965,2633199.34562212,983295.1538018433,983295.1538018433,40.21082949308756,1202112.9485915492,1202112.9485915492
5,174208,2610038.109383995,485843.95739781234,396122.0662061025,43.21243523316062,962270.1870011402,784565.5974914482
6,164729,2637333.5547445253,2179413.2420924576,897435.4403892944,29.03345498783455,2179413.2420924576,897435.4403892944
7,175342,2600851.8810749,95913.96169239565,95913.96169239565,42.6106346483705,762515.9954545455,762515.9954545455
8,176355,2528474.5454545454,711525.6284090909,711525.6284090909,46.00510169163223,1243580.0456802384,1243580.0456802384
9,175883,2617065.4777651085,808547.0655644241,0.0,45.225199543899656,1171091.2906688687,0.0
10,176608,2627668.5905735376,410690.6859738785,410690.6859738785,45.628052243043726,1057348.388888889,1057348.388888889
