RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.0,0.0,0,0,14
2,0.0,0.0,0,0,24
3,0.0,0.0,0,0,14
4,0.0,0.0,0,0,14
5,0.0,0.0,0,0,14
6,0.0,0.0,0,0,23
7,0.0,0.0,0,0,14
8,0.0,0.0,0,0,23
9,0.0,0.0,0,0,14
10,0.0,0.0,0,0,15
