RUN_NUMBER,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
1,20,20,35.0,77.77777777777777,7,2,0,0,11
2,20,20,55.0,91.66666666666667,11,1,2,0,6
3,20,20,50.0,90.9090909090909,10,1,3,0,6
