Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,111699,2609327.275336323,306836.81165919284,306836.81165919284,28.95695067264574,438057.676056338,438057.676056338
2,112106,2627040.621983914,545139.6041108132,545139.6041108132,27.465094344896542,982304.6972624799,982304.6972624799
3,111927,2383850.689346464,1057814.2515666964,587692.3070725157,27.92739697152095,1464161.7335811649,813447.7162329616
4,112008,2374203.1484794277,938426.6949910554,938426.6949910554,27.144007155635062,1168330.785077951,1168330.785077951
5,112015,2501540.894454383,986671.1601073345,986671.1601073345,28.285563762276748,2223988.622983871,2223988.622983871
6,111420,2424623.5791366906,280521.4514388489,280521.4514388489,26.1294964028777,1411492.552036199,1411492.552036199
7,110887,2548150.814814815,366911.0803974706,366911.0803974706,24.583162579593274,884903.1938997821,884903.1938997821
8,112821,2518779.1509769093,979065.6341030195,979065.6341030195,29.596421101117144,1381488.6015037594,1381488.6015037594
9,113008,2463275.804964539,656349.5753546099,652357.5753546099,30.71808510638298,656349.5753546099,652357.5753546099
10,114834,2587525.3193717278,14963.10994764398,14963.10994764398,37.74494942572846,115863.0,115863.0
