RUN_NUMBER,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
1,26,26,11.538461538461538,33.333333333333336,3,6,0,0,17
2,26,26,23.076923076923077,50.0,6,6,0,0,14
3,26,26,23.076923076923077,50.0,6,6,0,0,14
