Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,64878,2618990.975308642,1147208.8549382717,1090169.8549382717,25.13904368617589,1147208.8549382717,1090169.8549382717
2,64394,2613718.4074650076,1717537.4758942458,1717537.4758942458,23.9751166407465,2574304.4219114217,2574304.4219114217
3,64679,2373436.8297213623,1330285.6625386998,1330285.6625386998,25.33947416346366,1820687.5805084745,1820687.5805084745
4,64992,2631662.224961479,949543.2265023113,949543.2265023113,25.00462249614792,1410191.1990846682,1410191.1990846682
5,64678,2418130.9783281735,797388.560371517,0.0,24.07281053206683,1770147.8006872851,0.0
6,65783,2516978.9573170734,585279.0137195121,585279.0137195121,27.071646341463413,619262.9564516129,619262.9564516129
7,63796,2657822.047095761,2060784.1726844583,2056118.1726844583,23.463108320251177,2060784.1726844583,2056118.1726844583
8,67393,2396042.9717682023,856552.0609212482,856552.0609212482,30.116004936756088,1350022.3348946136,1350022.3348946136
9,67600,2414030.5303703705,1071477.4,1071477.4,31.356014266117967,1954722.2837837837,1954722.2837837837
10,67452,2599290.6350148367,986751.7537091988,986751.7537091988,28.83946103250007,1379814.692946058,1379814.692946058
