Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,150984,2469697.1174518913,736585.3848706038,25034.68082282681,24.987372795567158,1227913.9103982302,41733.69911504425
2,152173,2472915.8077682685,587415.6800526662,587415.6800526662,26.500329163923634,1285712.4178674351,1285712.4178674351
3,148881,2583472.6137281293,646261.1857335127,646261.1857335127,23.591908508121563,1805158.1240601505,1805158.1240601505
4,142315,2595275.9690140844,990077.4626760563,932215.5014084507,17.661971830985916,990077.4626760563,932215.5014084507
5,152780,2604663.257704918,501068.19409836066,89063.84655737705,26.52655737704918,1683103.5154185023,299168.20704845816
6,153906,2403982.8802083335,618793.205078125,615207.9407552084,27.895753648546005,618793.205078125,615207.9407552084
7,154323,2453951.5246753246,233025.41233766233,230009.05909090908,28.097454039467024,233025.41233766233,230009.05909090908
8,154364,2421549.217391304,130451.56781310837,82951.48475016223,28.38092147955873,700438.5574912892,445394.5574912892
9,157129,2490959.426020408,179767.69642857142,179767.69642857142,34.52359693877551,949076.5925925926,949076.5925925926
10,159208,2491667.3606041535,251022.02076777848,251022.02076777848,34.78162366268093,508767.8456632653,508767.8456632653
