Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,66385,2505127.9939668174,681567.5233785822,681567.5233785822,27.212929028207174,1452988.0,1452988.0
2,65383,2379085.041347626,107459.78713629402,107459.78713629402,26.199081163859113,225631.0,225631.0
3,62161,2648867.7487922707,1379678.9710144927,1373685.9710144927,20.537842190016104,1379678.9710144927,1373685.9710144927
4,64164,2372228.2620904837,513215.7394695788,513215.7394695788,23.634945397815912,1082142.3980263157,1082142.3980263157
5,64467,2463647.037267081,716363.4068322981,414817.0698757764,23.765105995139077,902814.156555773,522783.156555773
6,64474,2548397.6770186336,901946.1599378882,901946.1599378882,24.656239149724165,2604723.4394618836,2604723.4394618836
7,64073,2675200.025,129355.61875,124691.61875,23.542978515625002,129355.61875,124691.61875
8,67283,2536716.9166666665,830615.03125,830615.03125,29.30952380952381,1073410.1942307693,1073410.1942307693
9,67493,2535074.646884273,948687.7492581602,948687.7492581602,28.816023738872403,1072844.8708053692,1072844.8708053692
10,66981,2538533.0598802394,1089685.8053892215,36656.591317365266,28.369760479041915,1089685.8053892215,36656.591317365266
