RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.0,0.0,0,0,10
2,0.0,0.0,0,0,10
3,0.0,0.0,0,0,10
4,0.0,0.0,0,0,10
5,0.0,0.0,0,0,10
6,0.0,0.0,0,0,10
7,0.0,0.0,0,0,10
8,0.0,0.0,0,0,10
9,0.0,0.0,0,0,10
10,0.0,0.0,0,0,10
